,data,db,exp,prank,rank,reg,report,sj,zb
0,105.0,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,农业总产值指数(上年=100)(%)
1,104.4,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,农业总产值指数(上年=100)(%)
2,105.3,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,林业总产值指数(上年=100)(%)
3,106.1,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,林业总产值指数(上年=100)(%)
4,101.1,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,牧业总产值指数(上年=100)(%)
5,103.0,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,牧业总产值指数(上年=100)(%)
6,103.8,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,渔业总产值指数(上年=100)(%)
7,104.4,年度数据,,1.411529,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,渔业总产值指数(上年=100)(%)
8,,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,农业总产值指数(1952=100)(%)
9,995.3,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,农业总产值指数(1952=100)(%)
10,,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,林业总产值指数(1952=100)(%)
11,6119.2,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,林业总产值指数(1952=100)(%)
12,,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,牧业总产值指数(1952=100)(%)
13,3593.8,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,牧业总产值指数(1952=100)(%)
14,,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2015,2015年,渔业总产值指数(1952=100)(%)
15,29194.5,年度数据,,1.411729,84.0,全国,cn=C01&zb=A0D05&sj=2014,2014年,渔业总产值指数(1952=100)(%)
16,97,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050201&sj=2015,2015年,中国同亚洲其他国家(地区)出口总额(万美元)
17,24,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050201&sj=2014,2014年,中国同亚洲其他国家(地区)出口总额(万美元)
18,,年度数据,国内生产总值(GDP)指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。国内生产总值有三种表现形态，即价值形态、收入形态和产品形态。从价值形态看，它是所有常住单位在一定时期内生产的全部货物和服务价值与同期投入的全部非固定资产货物和服务价值的差额，即所有常住单位的增加值之和；从收入形态看，它是所有常住单位在一定时期内创造并分配给常住单位和非常住单位的初次收入之和；从产品形态看，它是所有常住单位在一定时期内最终使用的货物和服务价值与货物和服务净出口价值之和。在实际核算中，国内生产总值有三种计算方法，即生产法、收入法和支出法。三种方法分别从不同的方面反映国内生产总值及其构成。,4.5812289999999996,106.0,全国,cn=C01&zb=A010503&sj=2015,2015年,民族自治地方国内生产总值(亿元)
19,,年度数据,国内生产总值(GDP)指按市场价格计算的一个国家（或地区）所有常住单位在一定时期内生产活动的最终成果。国内生产总值有三种表现形态，即价值形态、收入形态和产品形态。从价值形态看，它是所有常住单位在一定时期内生产的全部货物和服务价值与同期投入的全部非固定资产货物和服务价值的差额，即所有常住单位的增加值之和；从收入形态看，它是所有常住单位在一定时期内创造并分配给常住单位和非常住单位的初次收入之和；从产品形态看，它是所有常住单位在一定时期内最终使用的货物和服务价值与货物和服务净出口价值之和。在实际核算中，国内生产总值有三种计算方法，即生产法、收入法和支出法。三种方法分别从不同的方面反映国内生产总值及其构成。,4.5812289999999996,106.0,全国,cn=C01&zb=A010503&sj=2014,2014年,民族自治地方国内生产总值(亿元)
20,4.6,年度数据,第一产业对GDP的贡献率是指第一产业对国内生产总值增长速度的贡献率，等于第一产业增加值增量与GDP增量之比。按不变价格计算。,4.581728999999999,106.0,全国,cn=C01&zb=A0209&sj=2015,2015年,第一产业对GDP的贡献率(%)
21,4.7,年度数据,第一产业对GDP的贡献率是指第一产业对国内生产总值增长速度的贡献率，等于第一产业增加值增量与GDP增量之比。按不变价格计算。,4.581728999999999,106.0,全国,cn=C01&zb=A0209&sj=2014,2014年,第一产业对GDP的贡献率(%)
22,100.0,年度数据,三次产业贡献率是指三次产业对国内生产总值增长速度的贡献率，等于各产业增加值增量与GDP增量之比。按不变价格计算。,4.581829,106.0,全国,cn=C01&zb=A0209&sj=2015,2015年,三次产业贡献率(%)
23,100.0,年度数据,三次产业贡献率是指三次产业对国内生产总值增长速度的贡献率，等于各产业增加值增量与GDP增量之比。按不变价格计算。,4.581829,106.0,全国,cn=C01&zb=A0209&sj=2014,2014年,三次产业贡献率(%)
24,42.4,年度数据,第二产业对GDP的贡献率是指第二产业对国内生产总值增长速度的贡献率，等于第二产业增加值增量与GDP增量之比。按不变价格计算。,5.201829,106.0,全国,cn=C01&zb=A0209&sj=2015,2015年,第二产业对GDP的贡献率(%)
25,47.8,年度数据,第二产业对GDP的贡献率是指第二产业对国内生产总值增长速度的贡献率，等于第二产业增加值增量与GDP增量之比。按不变价格计算。,5.201829,106.0,全国,cn=C01&zb=A0209&sj=2014,2014年,第二产业对GDP的贡献率(%)
26,179457.89,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,5.391329,106.0,全国,cn=C01&zb=A0F0202&sj=2015,2015年,内资建筑业企业建筑业总产值(亿元)
27,175408.54,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,5.391329,106.0,全国,cn=C01&zb=A0F0202&sj=2014,2014年,内资建筑业企业建筑业总产值(亿元)
